x,y,index,remaining_steps,replans
1,4,38,22,[]
1,5,39,21,[]
2,5,40,20,[]
3,5,41,19,[]
3,4,42,18,[]
3,3,43,17,[]
2,3,44,16,[]
3,3,45,15,[]
3,4,46,14,[]
4,4,47,13,[]
4,3,48,12,[]
4,2,49,11,[]
5,2,50,10,[]
5,1,51,9,[]
5,0,52,8,[]
5,1,53,7,[]
5,2,54,6,[]
4,2,55,5,[]
4,3,56,4,[]
4,4,57,3,[]
3,4,58,2,[]
3,3,59,1,[]
2,3,60,0,[]
